"REMARKS","RUNWAY","DIRECTION","AIRPORT","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","RWYLOCATION","UASLOCATION","DATASET"
"Reported an RCoperating near the approach end of RWY 28L as they were taxiing for departure. LEOnotified at.","['rwy28l']","[]","[]","4/29/2019","1:43","2019-04-29T01:43Z","LOF4764","DEN","UAS",NA,"MRY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28L","MRY","RUNWAY"
"Reported a black and orange 4 rotor UAS300 feet lowwhile E bound at 2,600 feet on a 7 NM final to RWY 08R. No evasive action reported. Houston PD notified at. ","['rwy08r']","['7 NM ']","['S30', '08R']","4/29/2019","4:14","2019-04-29T04:14Z","ASQ4291","DEN","UAS",NA,"IAH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 08R","IAH","RUNWAY"
"Airport personnel reported the discovery of awhite, 4 rotor UAS in the grass S of the approach end of RWY 34Rwhile conducting awalkinginspection of theRWY 34R RSA. NoUAS activity reported. ","['rwy34r', 'rwy34r']","[]","['34R', '34R']","4/30/2019","2:31","2019-04-30T02:31Z",NA,"DEN","UAS",NA,"PAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 34R","PAE","RUNWAY"
"PIC reported a UAS pass 200 feetabove them off their right side while at 500 feet on a 1 NM final to RWY 31. No evasive action taken. Washington County Sheriff notified.","['rwy31 ']","['1 NM ']","[]","5/2/2019","3:48","2019-05-02T03:48Z","N6286M","DEN","UAS",NA,"HIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 31","HIO","RUNWAY"
"Aircraft reported UAS on 2 NM final forRWY 26R at 900 feet. LEO notification not reported. ","['rwy26r']","['2 NM ']","['26R']","5/4/2019","5:38","2019-05-04T05:38Z","N33001","DEN","UAS",NA,"LGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 26R","LGB","RUNWAY"
"Reported having to descend below a UAS operating at approximately200AGL over the final for RWY 28R while Wbound at 200 feet on final. Yellowstone County Sheriff notified. ","['rwy28r']","[]","['00A']","5/4/2019","8:52","2019-05-04T08:52Z","N416BK","DEN","UAS",NA,"BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 28R","BIL","RUNWAY"
"PIC reported a drone on a 3 NM final forRWY 16 at 1,600 feet. No evasive action taken. LEO not notified. ","['rwy16 ']","['3 NM ']","[]","5/9/2019","21:44","2019-05-09T21:44Z","N666TR","DEN","UAS",NA,"ROC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 16","ROC","RUNWAY"
"Reported a UAS off left side while SW bound at 1,000 feet 1.5 NM final approach to RWY 22L. No evasive action taken. Massachusetts State PD notified at. ","['rwy22l']","['5 NM ']","[]","5/10/2019","20:21","2019-05-10T20:21Z","POE939","DEN","UAS",NA,"BOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 22L","BOS","RUNWAY"
"PIC reported a red and black UAS that passed overhead.Aircraft was at 1,500feet on a4 NM final to RWY 04R. No evasive action taken. Port Authority PD notified at.","['rwy04r']","['4 NM ']","[]","5/11/2019","17:56","2019-05-11T17:56Z","UAL2165","DEN","UAS",NA,"EWR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 04R","EWR","RUNWAY"
"Reported observing a 4 rotor UAS operating approximately 50 feet AGL while Sbound at 200 feet on a 1 NM final to RWY 19. No evasive action taken. McLennan County Sheriff notified and investigated finding no individual operators. ","['rwy19 ']","['1 NM ']","[]","5/13/2019","4:37","2019-05-13T04:37Z","N222UH","DEN","UAS",NA,"ACT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 19","ACT","RUNWAY"
"BAD AFB reported 2 UAS' maneuvering over RWY 15/33 at 500 feet and 1,500 feet. One UAS flew out of sightto the E, the other continued to maneuver over the RWY. Unknown LEO notification.","['rwy15']","[]","['BAD']","5/13/2019","9:23","2019-05-13T09:23Z",NA,"DEN","UAS",NA,"SHV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 15","SHV","RUNWAY"
"PIC reported a silver UAS with a camera attached while on crosswind turn to RWY 24 while at 1,200 feet. The UAS was reported within 5 feet of their Aircraft. No evasive action reported. LEO notification not reported.","['rwy24 ']","[]","[]","5/18/2019","6:49","2019-05-18T06:49Z","N2866W","DEN","UAS",NA,"LOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 24","LOU","RUNWAY"
"Reported a UAS at 300 feet in VCNTY to final approach courseto RWY 35. No evasive action taken. Kent County Sheriff notified at. ","['rwy35 ']","[]","[]","5/23/2019","19:37","2019-05-23T19:37Z","N65TH","DEN","UAS",NA,"GRR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 35","GRR","RUNWAY"
"Reported observing two UAS's operating S of RWY 09 while Ebound at 300 feet on short final to RWY 09. No evasive action reported. LEO notification not reported. ","['rwy09 ', 'rwy09 ']","[]","[]","5/24/2019","2:10","2019-05-24T02:10Z","N907JW","DEN","UAS",NA,"FXE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 09","FXE","RUNWAY"
"Reported observing aUAS pass 50 yards, opposite directionoff of the left side while climbing through 6,000 feet off of the departure end of RWY 21. No evasive action taken. Idaho Falls PD notified. ","['rwy21 ']","[]","[]","5/25/2019","0:46","2019-05-25T00:46Z","LN481HC","DEN","UAS",NA,"IDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 21","IDA","RUNWAY"
"PIC reported an RC fixed wing aircraft flying at or below 300 feet, 200 feet off of his right side while ENE bound at 300 feet on final to RWY 07. Evasive action not reported. Santa Barbara County Sheriff notified. ","['rwy07 ']","[]","[]","5/26/2019","4:07","2019-05-26T04:07Z","VTE3606","DEN","UAS",NA,"SBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 07","SBA","RUNWAY"
"Aircraft reported red and white UAS while at 700 feet on final to RWY 22. No evasive action taken. NYPD notified at. ","['rwy22 ']","[]","[]","5/29/2019","3:25","2019-05-29T03:25Z","RPA4329","DEN","UAS",NA,"LGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 22","LGA","RUNWAY"
"After departure, aircraft reported a UASoperating at approximately 100' off left side of departure end RWY 24.ARFFresponded to search area for the UAS operator. Nantucket PDwas notified at.","['rwy24 ']","[]","[]","5/31/2019","2:28","2019-05-31T02:28Z","N2043A","DEN","UAS",NA,"ACK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 24","ACK","RUNWAY"
"PIC reported a white UAS off their right side while S bound at 5,000 feet on base to RWY 27R. No evasive action taken.Philadelphia PDnotified at. ","['rwy27r']","[]","['27R']","6/4/2019","2:25","2019-06-04T02:25Z","AAL2113","DEN","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWY 27R","PHL","RUNWAY"
