"REMARKS","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
"PIC reported a UAS while ESE bound at 800FT, 2 NM WNW Miami International Airport. No evasive action taken. Miami-Dade PD Aviation Unit notified at.","10/6/2018","23:30","2018-10-06T23:30Z","AAL2665","DEN","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM WNW  MIA",NA
"PIC reported a white UAS at 9 o'clock position 100FT below while NNE bound at 5,000FT 8 NM W Oakland, CA. No evasive action taken. San Francisco PD notified at.","10/7/2018","6:16","2018-10-07T06:16Z","UAE410","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","8 NM W  NCT",NA
"PIC reported a UAS passing below while W bound at 2,500FT 6 NM E Addison, TX. No evasive action taken. DFW DPS notified at.","10/7/2018","6:20","2018-10-07T06:20Z","N2801U","DEN","UAS",NA,"ADS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","6 NM E  ADS",NA
"Pilot reported a blue, gold and orange UASTri-copter pass 500 feet below aircraft, from the 12 O'clock position, while W bound at 9,000 feet, 10 NM N of Revloc, PA. No evasive action reported. PA State PD notified at. ","10/7/2018","21:50","2018-10-07T21:50Z","N1776L","DEN","UAS",NA,"ZOB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM N of ZOB",NA
"Aircraft reporteda brightly colored quad copter 50 feet below their aircraft while ENE bound 1.5 NM SW of Ft. Myers, FL. No evasive action taken. Lee County Sheriff notified at. ","10/8/2018","2:58","2018-10-08T02:58Z","JBU165","DEN","UAS",NA,"F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1.5 NM SW of F11",NA
"Reported sighting a UAS off of the left side while Nbound at 1,000 teed, 2 NM N of LGA. No evasive action taken. NYPD Aviation Unit notified at. ","10/12/2018","23:34","2018-10-12T23:34Z","EDV3305","DEN","UAS",NA,"LGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM N of LGA",NA
"PIC reported a light colored UAS 1,000FT below aircraft while SE bound at 6,000FT 6 NM N Hanford, CA. No evasive action taken. Fresno Sheriff notified.","10/13/2018","20:50","2018-10-13T20:50Z","N7695N","DEN","UAS",NA,"FAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","6 NM N  FAT",NA
"PIC reported a black and white quad copter UAS while S bound at 3,500FT 4 NM N Lafayette, LA. No evasive action taken. Lafayette PD notified at.","10/13/2018","22:27","2018-10-13T22:27Z","N91315","DEN","UAS",NA,"LFT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 NM N  LFT",NA
"Aircraft at 1,800 feet observed a drone below and to the right, 5 NM S of IAD, while heading Nbound. No evasive action. Several other aircraft landed without any sightings. No further description. Fairfax County PD contacted. Call Sign = Santos. ","10/13/2018","22:42","2018-10-13T22:42Z","SDU95","NCRCC","UAS",NA,"IAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM S of IAD",NA
"Reported observing a white Quad-copter UAS while ESE bound at 3,000 feet, 11 NM WNW of JFK. No evasive action taken. NYPD notified at. ","10/13/2018","23:58","2018-10-13T23:58Z","JBU117","DEN","UAS",NA,"JFK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","11 NM WNW of JFK",NA
"UAL511, B739, 5 NM E of IAD, SW-bound,4000 feet, reported a white drone maneuvering at approximately 3500 feet. No evasive action taken. Fairfax County PD notified at.","10/14/2018","1:26","2018-10-14T01:26Z","UAL511","NCRCC","UAS","NOTIFICATION-LATE","IAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM E of IAD",NA
"Reported sighting a UAS operating at 1,000 feet, 2 NM N of Portland.No evasive action reported. LEO notification was not made. ","10/14/2018","5:23","2018-10-14T05:23Z","FSP377","DEN","UAS",NA,"P50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM N of P50",NA
"Reported observing a black UAS operating at same altitude while at 2,000 feet, 7 NM WSW of JFK. No evasive action taken. NYPD Aviation Unit notified at.","10/15/2018","3:02","2018-10-15T03:02Z","JBU2601","DEN","UAS",NA,"JFK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7 NM WSW of JFK",NA
"PIC reported black UAS while N bound at 5,000FT 10 NM NW Camp Pendleton. No evasive action taken. San Diego Sheriff notified at.","10/16/2018","0:29","2018-10-16T00:29Z","PAT165","DEN","UAS",NA,"NFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM NW  NFG",NA
"PIC reported a UAS at 2,500FT 5 NM W of Columbia. No evasive action taken. LEO notified.","10/16/2018","4:47","2018-10-16T04:47Z","LXJ420","DEN","UAS",NA,"CAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM W of CAE",NA
"DCA-2: PCT relayed for DAA ATCT that DAA sees a drone 2 NM E of DAA altitude approximately 1,000 and below. PCT will contact the police at FT Belvoir, which is approximately where the UAS is operating. 1830: DAA ATCT is still seeing UAS. PCT reports that PAT10 will survey the area. Ft. Belvoir PD notified at and they are sending out a patrol car. 1855: PCT had a discussion with DAA ATCT and it was decided that the sighting was a flock of birds. NFA.","10/16/2018","23:22","2018-10-16T23:22Z",NA,"NCRCC","TOI-NCR FRZ","PAGED, TOI, UAS","PCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM E of PCT",NA
"PIC reported a UAS above while WSW bound at 7,000FT 30 NM NE LAX. No evasive action taken. Law enforcement notification not reported.","10/17/2018","3:04","2018-10-17T03:04Z","WJA1100","DEN","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","30 NM NE LAX",NA
"The PIC reporteda black quadcopter UAS at 3,500FT passing 15FT off left side 10 NM N PDK. Evasive action not reported. Atlanta Police Department notified at.","10/18/2018","5:59","2018-10-18T05:59Z","N6919J","DEN","UAS","PAGED","PDK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","10 NM N PDK",NA
